Scientific Name | Nom scientifique,Taxonomic Kingdom | Règne taxonomique,Taxonomic Rank | Rang taxonomique,Province/Territory | Province/territoire,Province/Territory Code | Code du Province/territoire,Country | Pays,Country Code | Code du pays,Collection Code | Code de la collection
"Pratylenchus neglectus (Rensch, 1924) Filipjev & Schuurmans Stekhoven, 1941",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Pratylenchus penetrans (Cobb, 1917) Filipjev & Schuurmans Stekhoven, 1941",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Punctodera punctata (Thorne, 1928) Mulvey & Stone, 1976",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Rotylenchus buxophilus (Golden, 1956)",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Rotylenchus robustus (de Man, 1876)",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Seinura tenuicaudata (de Man, 1895)",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Tripyloides marinus (Bütschli, 1874) de Man, 1886",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Tylenchorhynchus claytoni Steiner, 1937",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Tylenchorhynchus nudus Allen, 1955",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Xiphinema diversicaudatum (Micoletzky, 1923 & 1927) Thorne, 1939",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Mesocriconema axeste (Fassuliotis & Williamson, 1959) Loof & De Grisse, 1989",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Mesocriconema xenoplax (Raski, 1952) Loof & De Grisse, 1989",Animalia,species | espèce,British Columbia | Colombie-Britannique,BC,Canada,CA,CNC
"Aphelenchus avenae Bastian, 1865",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Cactodera cacti (Filipjev & Schuurmans Stekhoven, 1941) Krall & Krall, 1978",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Cactodera weissi (Steiner, 1949) Krall & Krall, 1978",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Ditylenchus dipsaci (Kühn, 1857) Filipjev, 1936",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Gastromermis deltensis Hominick & Welch, 1971",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Helicotylenchus digonicus Perry in Perry, Darling & Thorne, 1959",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Helicotylenchus leiocephalus Sher, 1966",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Helicotylenchus pseudorobustus (Steiner, 1914) Golden, 1956",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Hoplolaimus galeatus (Cobb, 1913)",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Hydromermis churchillensis Welch, 1960",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Hydromermis conopophaga Poinar, 1968",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Hydromermis palustris Hominick & Welch, 1971",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Meloidogyne arenaria (Neal, 1889) Chitwood, 1949",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Meloidogyne hapla Chitwood, 1949",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Meloidogyne incognita (Kofoid & White, 1919) Chitwood, 1949",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Mononchus truncatus Bastian, 1865",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Nothotylenchus acris Thorne, 1941",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Panagrellus redivivus (Linnaeus, 1767) Goodey, 1945",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Paratylenchus aciculus Brown, 1959",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Paratylenchus hamatus Thorne & Allen, 1950",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Paratylenchus projectus Jenkins, 1956",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Paratylenchus tenuicaudatus Wu, 1961",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Pratylenchus penetrans (Cobb, 1917) Filipjev & Schuurmans Stekhoven, 1941",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Punctodera punctata (Thorne, 1928) Mulvey & Stone, 1976",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Romanomermis communensis Galloway & Brust, 1979",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Romanomermis culicivorax Ross & Smith, 1976",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Tylenchorhynchus maximus Allen, 1955",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Tylenchorhynchus nudus Allen, 1955",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Mesocriconema xenoplax (Raski, 1952) Loof & De Grisse, 1989",Animalia,species | espèce,Manitoba,MB,Canada,CA,CNC
"Adorus tenuis Cobb in Thorne, 1939",Animalia,species | espèce,New Brunswick | Nouveau-Brunswick,NB,Canada,CA,CNC
